Date,^GSPC
1960-02-01,2820000
1960-02-02,3080000
1960-02-03,3020000
1960-02-04,2600000
1960-02-05,2530000
1960-02-08,3350000
1960-02-09,2860000
1960-02-10,2440000
1960-02-11,2610000
1960-02-12,2230000
1960-02-15,2780000
1960-02-16,3270000
1960-02-17,4210000
1960-02-18,3800000
1960-02-19,3230000
1960-02-23,2960000
1960-02-24,2740000
1960-02-25,3600000
1960-02-26,3380000
1960-02-29,2990000
1960-03-01,2920000
1960-03-02,3110000
1960-03-03,3160000
1960-03-04,4060000
1960-03-07,2900000
1960-03-08,3370000
1960-03-09,3580000
1960-03-10,3350000
1960-03-11,2770000
1960-03-14,2530000
1960-03-15,2690000
1960-03-16,2960000
1960-03-17,2140000
1960-03-18,2620000
1960-03-21,2500000
1960-03-22,2490000
1960-03-23,3020000
1960-03-24,2940000
1960-03-25,2640000
1960-03-28,2500000
1960-03-29,2320000
1960-03-30,2450000
1960-03-31,2690000
1960-04-01,2260000
1960-04-04,2450000
1960-04-05,2840000
1960-04-06,3450000
1960-04-07,3070000
1960-04-08,2820000
1960-04-11,2520000
1960-04-12,2470000
1960-04-13,2730000
1960-04-14,2730000
1960-04-18,3200000
1960-04-19,3080000
1960-04-20,3150000
1960-04-21,2700000
1960-04-22,2850000
1960-04-25,2980000
1960-04-26,2940000
1960-04-27,3020000
1960-04-28,3190000
1960-04-29,2850000
1960-05-02,2930000
1960-05-03,2910000
1960-05-04,2870000
1960-05-05,2670000
1960-05-06,2560000
1960-05-09,2670000
1960-05-10,2870000
1960-05-11,2900000
1960-05-12,3220000
1960-05-13,3750000
1960-05-16,3530000
1960-05-17,4080000
1960-05-18,5240000
1960-05-19,3700000
1960-05-20,3170000
1960-05-23,2530000
1960-05-24,3240000
1960-05-25,3440000
1960-05-26,3720000
1960-05-27,3040000
1960-05-31,3750000
1960-06-01,3770000
1960-06-02,3730000
1960-06-03,3340000
1960-06-06,3220000
1960-06-07,3710000
1960-06-08,3800000
1960-06-09,3820000
1960-06-10,2940000
1960-06-13,3180000
1960-06-14,3430000
1960-06-15,3630000
1960-06-16,3540000
1960-06-17,3920000
1960-06-20,3970000
1960-06-21,3860000
1960-06-22,3600000
1960-06-23,3620000
1960-06-24,3220000
1960-06-27,2960000
1960-06-28,3120000
1960-06-29,3160000
1960-06-30,2940000
1960-07-01,2620000
1960-07-05,2780000
1960-07-06,2970000
1960-07-07,3050000
1960-07-08,3010000
1960-07-11,2920000
1960-07-12,2860000
1960-07-13,2590000
1960-07-14,2480000
1960-07-15,2140000
1960-07-18,2350000
1960-07-19,2490000
1960-07-20,2370000
1960-07-21,2510000
1960-07-22,2850000
1960-07-25,2840000
1960-07-26,2720000
1960-07-27,2560000
1960-07-28,3020000
1960-07-29,2730000
1960-08-01,2440000
1960-08-02,2090000
1960-08-03,2470000
1960-08-04,2840000
1960-08-05,3000000
1960-08-08,2960000
1960-08-09,2700000
1960-08-10,2810000
1960-08-11,3070000
1960-08-12,3160000
1960-08-15,2450000
1960-08-16,2710000
1960-08-17,3090000
1960-08-18,2890000
1960-08-19,2570000
1960-08-22,2760000
1960-08-23,3560000
1960-08-24,3500000
1960-08-25,2680000
1960-08-26,2780000
1960-08-29,2780000
1960-08-30,2890000
1960-08-31,3130000
1960-09-01,3460000
1960-09-02,2680000
1960-09-06,2580000
1960-09-07,2850000
1960-09-08,2670000
1960-09-09,2750000
1960-09-12,2160000
1960-09-13,2180000
1960-09-14,2530000
1960-09-15,2870000
1960-09-16,2340000
1960-09-19,3790000
1960-09-20,3660000
1960-09-21,2930000
1960-09-22,1970000
1960-09-23,2580000
1960-09-26,3930000
1960-09-27,3170000
1960-09-28,3520000
1960-09-29,2850000
1960-09-30,3370000
1960-10-03,2220000
1960-10-04,2270000
1960-10-05,2650000
1960-10-06,2510000
1960-10-07,2530000
1960-10-10,2030000
1960-10-11,2350000
1960-10-12,1890000
1960-10-13,2220000
1960-10-14,2470000
1960-10-17,2280000
1960-10-18,2220000
1960-10-19,2410000
1960-10-20,2910000
1960-10-21,3090000
1960-10-24,4420000
1960-10-25,3030000
1960-10-26,3020000
1960-10-27,2900000
1960-10-28,2490000
1960-10-31,2460000
1960-11-01,2600000
1960-11-02,2780000
1960-11-03,2580000
1960-11-04,3050000
1960-11-07,3540000
1960-11-09,3450000
1960-11-10,4030000
1960-11-11,2730000
1960-11-14,2660000
1960-11-15,2990000
1960-11-16,3110000
1960-11-17,2450000
1960-11-18,2760000
1960-11-21,3090000
1960-11-22,3430000
1960-11-23,3000000
1960-11-25,3190000
1960-11-28,3860000
1960-11-29,3630000
1960-11-30,3080000
1960-12-01,3090000
1960-12-02,3140000
1960-12-05,3290000
1960-12-06,3360000
1960-12-07,3660000
1960-12-08,3540000
1960-12-09,4460000
1960-12-12,3020000
1960-12-13,3500000
1960-12-14,3880000
1960-12-15,3660000
1960-12-16,3770000
1960-12-19,3630000
1960-12-20,3340000
1960-12-21,4060000
1960-12-22,3820000
1960-12-23,3580000
1960-12-27,3270000
1960-12-28,3620000
1960-12-29,4340000
1960-12-30,5300000
