,Ridge model,RF model,Extra tree model,XGB model,LGBM model
1990,0.06,0.141,0.11,0.037,-0.049
1991,0.23,0.07,0.257,0.181,0.114
1992,0.151,0.174,0.175,0.215,0.238
1993,0.103,0.153,0.194,0.175,0.158
1994,0.102,0.126,0.088,0.126,0.126
1995,0.019,-0.011,0.035,0.018,0.032
1996,0.044,0.111,0.097,0.08,0.054
1997,-0.071,-0.001,-0.071,0.036,0.054
1998,0.312,0.379,0.366,0.319,0.362
1999,0.357,0.327,0.336,0.251,0.241
2000,-0.07,-0.028,-0.03,-0.01,-0.026
2001,0.05,-0.009,-0.085,-0.085,-0.094
2002,-0.115,-0.121,-0.126,-0.118,-0.106
2003,0.3,0.22,0.305,0.33,0.293
2004,-0.037,-0.27,-0.112,-0.157,-0.107
2005,0.325,0.411,0.393,0.433,0.43
2006,-0.11,-0.269,-0.12,-0.157,-0.134
2007,0.076,0.189,0.137,0.13,0.152
2008,-0.129,0.039,-0.044,0.08,0.114
2009,0.253,0.319,0.208,0.138,0.177
2010,0.153,0.175,0.184,0.151,0.098
2011,-0.083,0.111,0.05,0.061,0.103
2012,0.049,-0.175,0.009,-0.049,-0.059
2013,0.145,0.278,0.251,0.22,0.198
2014,0.038,-0.026,-0.049,-0.013,0.025
2015,-0.016,-0.088,-0.115,-0.061,-0.105
2016,0.334,0.146,0.364,0.326,0.135
2017,0.133,-0.035,0.013,-0.073,-0.183
2018,0.002,0.032,0.085,0.1,0.066
2019,0.065,0.256,0.217,0.304,0.213
