,Ridge model,RF model,Extra tree model,XGB model,LGBM model
1990,0.119,0.282,0.221,0.075,-0.099
1991,0.459,0.14,0.514,0.362,0.228
1992,0.301,0.348,0.349,0.431,0.477
1993,0.205,0.305,0.388,0.349,0.316
1994,0.205,0.253,0.176,0.252,0.252
1995,0.037,-0.022,0.069,0.035,0.064
1996,0.088,0.221,0.195,0.159,0.108
1997,-0.142,-0.002,-0.143,0.071,0.107
1998,0.625,0.758,0.731,0.639,0.724
1999,0.714,0.653,0.672,0.502,0.481
2000,-0.139,-0.056,-0.06,-0.02,-0.052
2001,0.101,-0.018,-0.17,-0.17,-0.187
2002,-0.229,-0.242,-0.252,-0.236,-0.212
2003,0.6,0.44,0.611,0.66,0.585
2004,-0.074,-0.54,-0.225,-0.314,-0.213
2005,0.649,0.821,0.787,0.866,0.86
2006,-0.22,-0.537,-0.24,-0.314,-0.267
2007,0.151,0.378,0.275,0.26,0.305
2008,-0.257,0.078,-0.087,0.16,0.227
2009,0.507,0.638,0.416,0.277,0.353
2010,0.305,0.35,0.368,0.302,0.197
2011,-0.166,0.221,0.101,0.123,0.206
2012,0.099,-0.35,0.017,-0.098,-0.119
2013,0.29,0.555,0.501,0.441,0.396
2014,0.077,-0.052,-0.097,-0.026,0.051
2015,-0.033,-0.177,-0.231,-0.122,-0.21
2016,0.668,0.292,0.728,0.653,0.271
2017,0.266,-0.07,0.026,-0.146,-0.365
2018,0.004,0.065,0.17,0.2,0.132
2019,0.13,0.512,0.433,0.609,0.426
